station,latitude(deg),longitude(deg),altitude(m),year,month,day,GHI(MJ/m2),DHI(MJ/m2)
52955,35.58333333,100.7333333,3120.8,1970,1,1,12.424,2.369
52955,35.58333333,100.7333333,3120.8,1970,1,2,11.787,3.046
52955,35.58333333,100.7333333,3120.8,1970,1,3,12.594,2.302
52955,35.58333333,100.7333333,3120.8,1970,1,4,11.076,3.687
52955,35.58333333,100.7333333,3120.8,1970,1,5,9.458,4.478
52955,35.58333333,100.7333333,3120.8,1970,1,6,6.94,4.532
52955,35.58333333,100.7333333,3120.8,1970,1,7,12.183,2.973
52955,35.58333333,100.7333333,3120.8,1970,1,8,7.386,4.641
52955,35.58333333,100.7333333,3120.8,1970,1,9,8.21,4.748
52955,35.58333333,100.7333333,3120.8,1970,1,10,12.512,2.858
52955,35.58333333,100.7333333,3120.8,1970,1,11,13.06,2.389
52955,35.58333333,100.7333333,3120.8,1970,1,12,13.108,2.417
52955,35.58333333,100.7333333,3120.8,1970,1,13,6.847,4.604
52955,35.58333333,100.7333333,3120.8,1970,1,14,13.24,2.484
52955,35.58333333,100.7333333,3120.8,1970,1,15,12.597,3.209
52955,35.58333333,100.7333333,3120.8,1970,1,16,12.156,3.659
52955,35.58333333,100.7333333,3120.8,1970,1,17,4.549,3.556
52955,35.58333333,100.7333333,3120.8,1970,1,18,13.296,2.835
52955,35.58333333,100.7333333,3120.8,1970,1,19,12.25,3.842
52955,35.58333333,100.7333333,3120.8,1970,1,20,13.864,2.492
52955,35.58333333,100.7333333,3120.8,1970,1,21,11.764,4.342
52955,35.58333333,100.7333333,3120.8,1970,1,22,9.523,5.113
52955,35.58333333,100.7333333,3120.8,1970,1,23,12.944,3.689
52955,35.58333333,100.7333333,3120.8,1970,1,24,14.293,2.548
52955,35.58333333,100.7333333,3120.8,1970,1,25,13.219,3.711
52955,35.58333333,100.7333333,3120.8,1970,1,26,13.411,3.664
52955,35.58333333,100.7333333,3120.8,1970,1,27,10.906,5.119
52955,35.58333333,100.7333333,3120.8,1970,1,28,4.711,3.718
52955,35.58333333,100.7333333,3120.8,1970,1,29,14.43,3.126
52955,35.58333333,100.7333333,3120.8,1970,1,30,13.103,4.338
52955,35.58333333,100.7333333,3120.8,1970,1,31,11.427,5.255
52955,35.58333333,100.7333333,3120.8,1970,2,1,13.929,3.966
52955,35.58333333,100.7333333,3120.8,1970,2,2,13.923,4.105
52955,35.58333333,100.7333333,3120.8,1970,2,3,14.7,3.61
52955,35.58333333,100.7333333,3120.8,1970,2,4,15.24,3.226
52955,35.58333333,100.7333333,3120.8,1970,2,5,12.407,5.322
52955,35.58333333,100.7333333,3120.8,1970,2,6,14.097,4.507
52955,35.58333333,100.7333333,3120.8,1970,2,7,9.715,5.838
52955,35.58333333,100.7333333,3120.8,1970,2,8,16.001,3.127
52955,35.58333333,100.7333333,3120.8,1970,2,9,11.723,5.861
52955,35.58333333,100.7333333,3120.8,1970,2,10,12.5,5.737
52955,35.58333333,100.7333333,3120.8,1970,2,11,14.814,4.643
52955,35.58333333,100.7333333,3120.8,1970,2,12,16.577,3.265
52955,35.58333333,100.7333333,3120.8,1970,2,13,15.281,4.599
52955,35.58333333,100.7333333,3120.8,1970,2,14,15.027,4.909
52955,35.58333333,100.7333333,3120.8,1970,2,15,17.411,2.945
